X	X	X	SAD	X	0.000000	0.000125	non-speech	0.500000
X	X	X	SAD	X	0.000125	47.846375	speech	0.500000
X	X	X	SAD	X	47.846375	48.777125	non-speech	0.500000
X	X	X	SAD	X	48.777125	67.447500	speech	0.500000
X	X	X	SAD	X	67.447500	68.319000	non-speech	0.500000
X	X	X	SAD	X	68.319000	70.143750	speech	0.500000
X	X	X	SAD	X	70.143750	70.936125	non-speech	0.500000
X	X	X	SAD	X	70.936125	75.123750	speech	0.500000
X	X	X	SAD	X	75.123750	76.064875	non-speech	0.500000
X	X	X	SAD	X	76.064875	81.692000	speech	0.500000
X	X	X	SAD	X	81.692000	82.700250	non-speech	0.500000
X	X	X	SAD	X	82.700250	83.112375	speech	0.500000
X	X	X	SAD	X	83.112375	83.629875	non-speech	0.500000
X	X	X	SAD	X	83.629875	83.790750	speech	0.500000
X	X	X	SAD	X	83.790750	84.434375	non-speech	0.500000
X	X	X	SAD	X	84.434375	84.592625	speech	0.500000
X	X	X	SAD	X	84.592625	85.221375	non-speech	0.500000
X	X	X	SAD	X	85.221375	86.335375	speech	0.500000
X	X	X	SAD	X	86.335375	87.283875	non-speech	0.500000
X	X	X	SAD	X	87.283875	87.925875	speech	0.500000
X	X	X	SAD	X	87.925875	88.810250	non-speech	0.500000
X	X	X	SAD	X	88.810250	88.951750	speech	0.500000
X	X	X	SAD	X	88.951750	89.487500	non-speech	0.500000
X	X	X	SAD	X	89.487500	106.673750	speech	0.500000
X	X	X	SAD	X	106.673750	107.415875	non-speech	0.500000
X	X	X	SAD	X	107.415875	107.586000	speech	0.500000
X	X	X	SAD	X	107.586000	108.235625	non-speech	0.500000
X	X	X	SAD	X	108.235625	127.884750	speech	0.500000
X	X	X	SAD	X	127.884750	128.747750	non-speech	0.500000
X	X	X	SAD	X	128.747750	129.789500	speech	0.500000
X	X	X	SAD	X	129.789500	132.708250	non-speech	0.500000
X	X	X	SAD	X	132.708250	136.408250	speech	0.500000
X	X	X	SAD	X	136.408250	138.188000	non-speech	0.500000
X	X	X	SAD	X	138.188000	138.874250	speech	0.500000
X	X	X	SAD	X	138.874250	139.404375	non-speech	0.500000
X	X	X	SAD	X	139.404375	141.616500	speech	0.500000
X	X	X	SAD	X	141.616500	142.356875	non-speech	0.500000
X	X	X	SAD	X	142.356875	145.712250	speech	0.500000
X	X	X	SAD	X	145.712250	147.757125	non-speech	0.500000
X	X	X	SAD	X	147.757125	164.849000	speech	0.500000
X	X	X	SAD	X	164.849000	167.148000	non-speech	0.500000
X	X	X	SAD	X	167.148000	172.758250	speech	0.500000
X	X	X	SAD	X	172.758250	175.397000	non-speech	0.500000
X	X	X	SAD	X	175.397000	175.936500	speech	0.500000
X	X	X	SAD	X	175.936500	176.485250	non-speech	0.500000
X	X	X	SAD	X	176.485250	182.868875	speech	0.500000
X	X	X	SAD	X	182.868875	183.790750	non-speech	0.500000
X	X	X	SAD	X	183.790750	184.927000	speech	0.500000
X	X	X	SAD	X	184.927000	185.522500	non-speech	0.500000
X	X	X	SAD	X	185.522500	186.392125	speech	0.500000
X	X	X	SAD	X	186.392125	187.382000	non-speech	0.500000
X	X	X	SAD	X	187.382000	188.992125	speech	0.500000
X	X	X	SAD	X	188.992125	190.291625	non-speech	0.500000
X	X	X	SAD	X	190.291625	190.569000	speech	0.500000
X	X	X	SAD	X	190.569000	191.082250	non-speech	0.500000
X	X	X	SAD	X	191.082250	191.636875	speech	0.500000
X	X	X	SAD	X	191.636875	192.315750	non-speech	0.500000
X	X	X	SAD	X	192.315750	192.713875	speech	0.500000
X	X	X	SAD	X	192.713875	193.279875	non-speech	0.500000
X	X	X	SAD	X	193.279875	194.306625	speech	0.500000
X	X	X	SAD	X	194.306625	195.203375	non-speech	0.500000
X	X	X	SAD	X	195.203375	195.868000	speech	0.500000
X	X	X	SAD	X	195.868000	196.468000	non-speech	0.500000
X	X	X	SAD	X	196.468000	200.212750	speech	0.500000
X	X	X	SAD	X	200.212750	201.274500	non-speech	0.500000
X	X	X	SAD	X	201.274500	201.811625	speech	0.500000
X	X	X	SAD	X	201.811625	206.784750	non-speech	0.500000
X	X	X	SAD	X	206.784750	216.077000	speech	0.500000
X	X	X	SAD	X	216.077000	216.947875	non-speech	0.500000
X	X	X	SAD	X	216.947875	217.873500	speech	0.500000
